category,alignment,metric,auroc,ci_low,ci_high
base_mistral,base,mean_logprob,0.514028,0.47198456285984847,0.5598811378247992
base_mistral,base,mean_log_rank,0.535204,0.49432166304711456,0.5789278940997646
base_mistral,base,mean_entropy,0.6354040000000001,0.5987682422518843,0.6709836128051221
aligned_mistral,aligned,mean_logprob,0.8312040000000002,0.8029624170255661,0.8567042098370891
aligned_mistral,aligned,mean_log_rank,0.880852,0.8588974590287131,0.9004766262820513
aligned_mistral,aligned,mean_entropy,0.72362,0.6928536967298158,0.7554507273833835
base_mpt,base,mean_logprob,0.50438,0.46277147204476543,0.5523626722733201
base_mpt,base,mean_log_rank,0.506212,0.46461870953931655,0.5533615544762507
base_mpt,base,mean_entropy,0.587088,0.5471204935933955,0.6282608012460306
aligned_mpt,aligned,mean_logprob,0.7107559999999999,0.6760564981356149,0.7423622794091045
aligned_mpt,aligned,mean_log_rank,0.740272,0.7064644814117628,0.7709213669675392
aligned_mpt,aligned,mean_entropy,0.572948,0.5371373948019394,0.6089169441702724
base_cohere,base,mean_logprob,0.861448,0.8392108326735258,0.8837873422980266
base_cohere,base,mean_log_rank,0.8404240000000001,0.8169356347475968,0.8653005734936969
base_cohere,base,mean_entropy,0.620392,0.5887187606075541,0.6560544165760618
aligned_cohere,aligned,mean_logprob,0.953508,0.9395602606058288,0.9653056398339556
aligned_cohere,aligned,mean_log_rank,0.94904,0.9352653947418377,0.9610165873521195
aligned_cohere,aligned,mean_entropy,0.7305759999999999,0.6999058889784766,0.7623294207755035
chatgpt,aligned,mean_logprob,0.979136,0.9694512550655926,0.9870657989986444
chatgpt,aligned,mean_log_rank,0.9781839999999999,0.9692679222753326,0.9858729610685579
chatgpt,aligned,mean_entropy,0.7689520000000001,0.738878489707855,0.7996015919727477
gpt4,aligned,mean_logprob,0.8264199999999999,0.7994485617925883,0.8519060960125021
gpt4,aligned,mean_log_rank,0.8267520000000002,0.7996464979730169,0.852066268747594
gpt4,aligned,mean_entropy,0.60548,0.5719677381154091,0.6423105040590518
